variable,label,harm,threshold,prevalence,n,test_pos_rate,tp_rate,fp_rate,net_benefit
none,Treat None,0,0.1,0.14,750,0,0,0,0
none,Treat None,0,0.11,0.14,750,0,0,0,0
none,Treat None,0,0.12,0.14,750,0,0,0,0
none,Treat None,0,0.13,0.14,750,0,0,0,0
none,Treat None,0,0.14,0.14,750,0,0,0,0
none,Treat None,0,0.15,0.14,750,0,0,0,0
none,Treat None,0,0.16,0.14,750,0,0,0,0
none,Treat None,0,0.17,0.14,750,0,0,0,0
none,Treat None,0,0.18,0.14,750,0,0,0,0
none,Treat None,0,0.19,0.14,750,0,0,0,0
none,Treat None,0,0.2,0.14,750,0,0,0,0
none,Treat None,0,0.21,0.14,750,0,0,0,0
none,Treat None,0,0.22,0.14,750,0,0,0,0
none,Treat None,0,0.23,0.14,750,0,0,0,0
none,Treat None,0,0.24,0.14,750,0,0,0,0
none,Treat None,0,0.25,0.14,750,0,0,0,0
none,Treat None,0,0.26,0.14,750,0,0,0,0
none,Treat None,0,0.27,0.14,750,0,0,0,0
none,Treat None,0,0.28,0.14,750,0,0,0,0
none,Treat None,0,0.29,0.14,750,0,0,0,0
none,Treat None,0,0.3,0.14,750,0,0,0,0
none,Treat None,0,0.31,0.14,750,0,0,0,0
none,Treat None,0,0.32,0.14,750,0,0,0,0
none,Treat None,0,0.33,0.14,750,0,0,0,0
none,Treat None,0,0.34,0.14,750,0,0,0,0
none,Treat None,0,0.35,0.14,750,0,0,0,0
famhistory,Family History,0,1e-9,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.03199999987866667
famhistory,Family History,0,0.01,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.030774410774410774
famhistory,Family History,0,0.02,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.029523809523809525
famhistory,Family History,0,0.03,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.02824742268041237
famhistory,Family History,0,0.04,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.026944444444444444
famhistory,Family History,0,0.05,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.025614035087719297
famhistory,Family History,0,0.06,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.02425531914893617
famhistory,Family History,0,0.07,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.0228673835125448
famhistory,Family History,0,0.08,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.02144927536231884
famhistory,Family History,0,0.09,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.02
famhistory,Family History,0,0.1,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.018518518518518517
famhistory,Family History,0,0.11,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.01700374531835206
famhistory,Family History,0,0.12,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.015454545454545453
famhistory,Family History,0,0.13,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.01386973180076628
famhistory,Family History,0,0.14,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.012248062015503873
famhistory,Family History,0,0.15,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.010588235294117645
famhistory,Family History,0,0.16,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.008888888888888884
famhistory,Family History,0,0.17,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.007148594377510035
famhistory,Family History,0,0.18,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.005365853658536587
famhistory,Family History,0,0.19,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.0035390946502057603
famhistory,Family History,0,0.2,0.14,750,0.15333333333333332,0.032,0.12133333333333335,0.0016666666666666635
famhistory,Family History,0,0.21,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-2.531645569620253e-4
famhistory,Family History,0,0.22,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.0022222222222222227
famhistory,Family History,0,0.23,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.004242424242424242
famhistory,Family History,0,0.24,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.006315789473684212
famhistory,Family History,0,0.25,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.008444444444444449
famhistory,Family History,0,0.26,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.01063063063063064
famhistory,Family History,0,0.27,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.01287671232876713
famhistory,Family History,0,0.28,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.015185185185185197
famhistory,Family History,0,0.29,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.017558685446009394
famhistory,Family History,0,0.3,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.02000000000000001
famhistory,Family History,0,0.31,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.022512077294686003
famhistory,Family History,0,0.32,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.025098039215686284
famhistory,Family History,0,0.33,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.027761194029850764
famhistory,Family History,0,0.34,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.03050505050505052
famhistory,Family History,0,0.35,0.14,750,0.15333333333333332,0.032,0.12133333333333335,-0.03333333333333334
cancerpredmarker,Probability of Cancer Diagnosis,0,1e-9,0.14,750,1,0.14,0.86,0.13999999914000003
cancerpredmarker,Probability of Cancer Diagnosis,0,0.01,0.14,750,0.8893333333333333,0.14,0.7493333333333333,0.13243097643097645
cancerpredmarker,Probability of Cancer Diagnosis,0,0.02,0.14,750,0.7586666666666667,0.1386666666666667,0.62,0.12601360544217688
cancerpredmarker,Probability of Cancer Diagnosis,0,0.03,0.14,750,0.664,0.13466666666666668,0.5293333333333333,0.11829553264604813
cancerpredmarker,Probability of Cancer Diagnosis,0,0.04,0.14,750,0.6106666666666667,0.132,0.4786666666666667,0.11205555555555556
cancerpredmarker,Probability of Cancer Diagnosis,0,0.05,0.14,750,0.5546666666666666,0.128,0.42666666666666664,0.1055438596491228
cancerpredmarker,Probability of Cancer Diagnosis,0,0.06,0.14,750,0.49466666666666664,0.128,0.36666666666666664,0.10459574468085107
cancerpredmarker,Probability of Cancer Diagnosis,0,0.07,0.14,750,0.4573333333333333,0.12266666666666667,0.33466666666666667,0.09747670250896057
cancerpredmarker,Probability of Cancer Diagnosis,0,0.08,0.14,750,0.42533333333333334,0.12133333333333335,0.304,0.0948985507246377
cancerpredmarker,Probability of Cancer Diagnosis,0,0.09,0.14,750,0.404,0.11733333333333335,0.2866666666666666,0.088981684981685
cancerpredmarker,Probability of Cancer Diagnosis,0,0.1,0.14,750,0.37333333333333335,0.11600000000000002,0.25733333333333336,0.08740740740740742
cancerpredmarker,Probability of Cancer Diagnosis,0,0.11,0.14,750,0.35333333333333333,0.11333333333333334,0.24,0.08367041198501873
cancerpredmarker,Probability of Cancer Diagnosis,0,0.12,0.14,750,0.3373333333333333,0.11066666666666668,0.22666666666666668,0.07975757575757576
cancerpredmarker,Probability of Cancer Diagnosis,0,0.13,0.14,750,0.31866666666666665,0.11066666666666668,0.208,0.07958620689655173
cancerpredmarker,Probability of Cancer Diagnosis,0,0.14,0.14,750,0.3,0.11066666666666668,0.18933333333333333,0.07984496124031008
cancerpredmarker,Probability of Cancer Diagnosis,0,0.15,0.14,750,0.28,0.10933333333333334,0.17066666666666666,0.07921568627450981
cancerpredmarker,Probability of Cancer Diagnosis,0,0.16,0.14,750,0.268,0.10800000000000001,0.16,0.07752380952380954
cancerpredmarker,Probability of Cancer Diagnosis,0,0.17,0.14,750,0.25333333333333335,0.10400000000000001,0.14933333333333332,0.0734136546184739
cancerpredmarker,Probability of Cancer Diagnosis,0,0.18,0.14,750,0.24933333333333332,0.10400000000000001,0.14533333333333334,0.07209756097560976
cancerpredmarker,Probability of Cancer Diagnosis,0,0.19,0.14,750,0.23866666666666667,0.10400000000000001,0.13466666666666668,0.07241152263374487
cancerpredmarker,Probability of Cancer Diagnosis,0,0.2,0.14,750,0.23066666666666666,0.1,0.13066666666666665,0.06733333333333334
cancerpredmarker,Probability of Cancer Diagnosis,0,0.21,0.14,750,0.22133333333333333,0.1,0.12133333333333335,0.06774683544303797
cancerpredmarker,Probability of Cancer Diagnosis,0,0.22,0.14,750,0.21466666666666667,0.09733333333333334,0.11733333333333333,0.06423931623931625
cancerpredmarker,Probability of Cancer Diagnosis,0,0.23,0.14,750,0.20133333333333334,0.09733333333333334,0.104,0.06626839826839828
cancerpredmarker,Probability of Cancer Diagnosis,0,0.24,0.14,750,0.19466666666666665,0.09600000000000002,0.09866666666666667,0.06484210526315791
cancerpredmarker,Probability of Cancer Diagnosis,0,0.25,0.14,750,0.192,0.09600000000000002,0.096,0.06400000000000002
cancerpredmarker,Probability of Cancer Diagnosis,0,0.26,0.14,750,0.18266666666666667,0.09200000000000001,0.09066666666666666,0.06014414414414416
cancerpredmarker,Probability of Cancer Diagnosis,0,0.27,0.14,750,0.176,0.08933333333333333,0.08666666666666667,0.057278538812785385
cancerpredmarker,Probability of Cancer Diagnosis,0,0.28,0.14,750,0.16133333333333333,0.08666666666666668,0.07466666666666666,0.05762962962962964
cancerpredmarker,Probability of Cancer Diagnosis,0,0.29,0.14,750,0.15333333333333332,0.084,0.06933333333333333,0.05568075117370892
cancerpredmarker,Probability of Cancer Diagnosis,0,0.3,0.14,750,0.148,0.08266666666666668,0.06533333333333333,0.05466666666666668
cancerpredmarker,Probability of Cancer Diagnosis,0,0.31,0.14,750,0.14666666666666667,0.08133333333333334,0.06533333333333333,0.05198067632850242
cancerpredmarker,Probability of Cancer Diagnosis,0,0.32,0.14,750,0.14266666666666666,0.07866666666666668,0.064,0.04854901960784314
cancerpredmarker,Probability of Cancer Diagnosis,0,0.33,0.14,750,0.13866666666666666,0.07866666666666668,0.06,0.04911442786069652
cancerpredmarker,Probability of Cancer Diagnosis,0,0.34,0.14,750,0.12933333333333333,0.07733333333333335,0.052,0.05054545454545456
cancerpredmarker,Probability of Cancer Diagnosis,0,0.35,0.14,750,0.124,0.076,0.048,0.05015384615384615
